Number of occurrences (+-),POS,Lemma,Morph,Morph corrected phonetics,Gloss,замечания (ОТВЕТ НА НЕГО ПИШИТЕ КОММЕНТАРИЕМ К ЯЧЕЙКЕ),Context,ft,Transcription,Source
2,n,nekʲah,nikja;nekʲah;nikʲah,nekʲah,marriage,написание сведено по словарю Исмаиловой,()      Hawalaj (Havalay)      babaj-dɨ (granny-ATTR)      nikja (islamic.wedding)      haʔa-r=a (4.do.IPFV-CVB=be)      Мirzaχan-ɨ-s (mirzakhan-OBL-DAT)       ()      Мirzaχan=xa (mirzakhan=ADD)       ()      xɨw (bread)      kar (thing)      a-d (be-ATTR)      χal-laχ (house-?)      a-d (be-ATTR)      edemi (person)      j-iʔi-j (1-COP1-PST)       ()      ǯux-dɨ (which-ATTR)      χɨnimer=xa (child.PL=ADD)      a-d (be-ATTR)       ()      mi-now-dɨ (this-OBL-ATTR)      xɨdɨldɨ (woman)      r-iq'i-r-a-d (2-die.PFV-CVB=be-ATTR)       ()      mi-nowu-s (this-OBL-DAT)      r-ɨga-r=a (2-want.PFV-CVB=be)      tože ()      xɨdɨldɨ (woman)      xinime-ši-χda (child.PL-OBL.PL-LOC)      gja<r>ɢa-s (<2>look.PFV-INF)       ()      mita (?)      a-d (be-ATTR)       ()      haja (later)      mi (this)      xɨle-š-dɨ (woman.PL-OBL.PL-ATTR)      nikja (islamic.wedding)      hɨʔɨ-r (4.do.PFV-CVB)      kar (thing)      mij (here)      mi (this)      a<d>ɨrga-r=a (<HPL>stay.IPFV-CVB=be)       ()      xa (PTCL)      xɨle-š-e (woman.PL-OBL.PL-ERG)      w-aʔa-r=a (3-do.IPFV-CVB=be)      nin-waldɨ (mother-ABSTR)       ()      q'oxe (adult)      d-aʔa-r=a (HPL-do.IPFV-CVB=be)       ()      ǯüdχud (stepchild)      χɨnimer=xa (child.PL=ADD)       ()      xele (later)      ǯü-kla (REFL-LOC)      Гьawalai-s (havalay/OBL-DAT)      ruʔu-r=a (1.go.IPFV-CVB=be)      sa (one)      χɨnɨχ (child)       ()      Miχri (mihri)      babai-s (granny/OBL-DAT)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       ()      χɨnɨχ (child)      na (AND)      rɨš (daughter)      q'wa-r (two-2)       ()      ha-bɨr (he-PL)      q'oxe (adult)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       (),"Хавалай бабай поженили на Мирзахане, Мирзахан, был состоятельным человеком, у которого были дети, у которого умерла жена, ему нужна была женщина которая будет присматривать за детьми.""Эти женщины делают никях, они здесь остаются, эти женщины принимают материнство, они выращивают своих детей, потом ему Авала рождает одного ребенка, Михри бабушке рождается два ребенка сын и дочь, они вырастают.""","Hawalaj babajdɨ nikja haʔara Mirzaχaɨs, Mirzaχan xa xɨw kar ad χallaχ ad edemi jiʔij ǯuχda χɨnimer xa ad minowdɨ xɨdɨldɨ riq'irat minowus rɨgara tože xɨdɨldɨ xinimešiχda gjarkas ""mita ad aja mi xɨlešdɨ nikja hɨʔɨr mij mi adɨrgara ha xɨleše waʔara ninwaldɨ q'oχe daʔara ǯüduχud χɨnemerχa xele ǯükla Awalais ruʔura sa χɨnɨχ, Miχri babais duruʔura, χɨnɨχna rɨš q'war, habɨr q'oχe duruʔura """,kna_muhammadshafi05_1_6_18latin
1,n,nemec,nemcar,nemc-ar,German.PL,"лемма не точно;по аналогии с русским чередованием немец - немц-ы, засвидетельствованном в одном из словарей в косвенной основе // Лера: так надо тут в итоге отделять аффикс или нет?","   maˤhraba  (war(?))      w-iʔi, (3-COP1)      dušman-ar  (enemy-PL)      nemcar  (German.PL)      ji<d>q'ɨ-r  (<HPL>go.PFV-CVB)      a-ni  (be-CVB)      d-iʔi. (HPL-COP1)   ","Военное время было, пришли враги, немцы.",maˤhraba wiʔi... dušmanar nemcar jidq'ɨr ani diʔi,muhammad_shafi_4latin
1,adv,?,nes,nes,before,,nes (before) h-ac'a-r-diš (1-know.ipfv-cvb-neg) xu-r (say.ipfv-cvb) xa (ptcl.cit) hamɨʔ (now) χotʲa bɨ (at.least) wɨte (go.hort) jed (1pl.erg) h-ac'a-r-a (1-know.ipfv-cvb-aux1) huxu-s (say.pfv.1-inf) xa (ADD) možet (-) sa (one) šiw-i-j-den (what-aux2-pst-ctrf) (hanuwa) (???) ruxa-d (say.ipfv.1*-atr) xu-r (say.pfv-cvb),"До этого говорили, что не знаем, щас, может, скажем, он что-то скажет.",nes hac'ardɨši xur xa hamɨʔ χotʲa bɨ wɨte jed hac'ara huxus xa možet sa šiwijden hanuwa ruxad xur,kna_muzafer06
1,ptcl,net,net,net,no[R],,kowχa (elder) h-iši-r (1-be.pfv-cvb) () sa (one) zakon (law) i (1-go.ipfv) kar (thing) haˤɢ (law) kar (thing) sa (one) kar (thing) a-diš (aux1-neg) () net (no) () a-diš (aux1-neg),"Вожаком стал он -- беспорядок получился, ни закона, ничего.",kowχa hišir sa zakon i kar ʁaˤɢ kar sa kar adɨš net adɨš,kna_muzafer06
2,n,nik'alaj,Nik'alaj;nik'alaj,nik'alaj,tsarist,,kühne-d (old-ATTR)      Nik'alaj (Nikolai)      waxt-\i-n-de (time-OBL-LOC)      Nik'alaj (Nikolai)      waxt-\i-n-de (time-OBL-LOC)      Daɣ\i-stan-de (Daghestan-LOC),"В древние николаевские времена""Николаевские времена, в Дагестане""",kühned Nik'alaj waxt\i-nde Nik'alaj waxt\i-nde Daɣistande,Magomedshapi_Nina_glossed_23_07latin
1,n,nikalaj,Нikolaj-dɨ;nikolaj-dɨ;nikalaj-dɨ,nikalaj-dɨ,Nikolay-ATTR,,Нikolaj-dɨ (Nikolay-ATTR)      dewr-in-dɨ (time-Obl-Ad(Es))      Nikolaj (Nikolay)      dewr-in-dɨ (time-Obl-Ad(Es))      Дaʁɨstan-dɨ (Dagestan-Ad(Es))       ()      a-ni jiʔi (be-CVB 4.be.IPFV)      sa (one)       ()      adat (custom),Во времена Николая в Дагестане был один обычай,"Nikolajdɨ dewrindɨ, Nikolaj dewrindɨ, Daʁɨstandɨ ani jiʔi sa aˤdat ",Polina_text_s_Saadi_TextGridlatin
2,n,nin,nin,nin,mother,,mi-d (this)      rɨš (girl)      r-eši-r=a (2-cry-cvb=be)      ʁe-q-e<r>č'u-r=xa (out-re-<2>move-cvb=add)      za-d (I.obl-erg)      xur=xa (quot=add)      ubul (wolf)      ji<b>q'ɨ-ga (<3>come-temp1)      mi (this)      guniɢomšijer-a (neighbour-erg)      insan-aše-r (person-obl.pl-erg)      ǯɨ-dɨ (self.obl.nm-atr)      χɨnimer (children)      ʁa-ʔ (out-lat)      ʁe-d-ibʁu-r-diš (out-hpl-let.go-cvb-no)      wɨ-dɨ (you-atr)      nin (mother)      ubl-id (wolf.obl-atr)      r-iʔi (2-cop1)      xur (quot)      ubul (wolf)      w-iʔi (3-cop1)      wɨ-dɨ (you-atr)      nin (mother)      ubl-eši-kan (wolf.obl-obl.pl-com)      jišemiš (live)      r-iši-d (2-become.pfv-atr)      r-iʔi (2-cop1),"эта девушка вышла и начала плакать я сказала когда волк приходил соседи люди не пускали детей на улицу твоя мама волчица, с волками жила",mid rɨš rešira ʁeqerč'ur xa zad xurxa ubul hibq'ɨga mi guniɢomšijera insanaše ǯidɨ χɨnimer ʁaʔ ʁedibʁurdiš wɨdɨ nin ublid riʔid xur ubul wiʔi wɨdɨ nin ublišikan jišemiš rišid riʔiw,180722_0090
1,n,nin,nin-d\i-;nin-dɨ,nin-dɨ,mother-ATTR,,ǯu-d\i- ( self.M.Obl-ATTR)      did-d\i- (father-ATTR)      nin-d\i-  (mother-ATTR)      warl\i--wal-d\i- (rich-ABSTR-ATTR)      mad-d\i--biš-e (alien-ATTR-OBL.PL-ERG)      X\i-lʲ-a  (hand-LOC)      haˁ<p>X-\i-ˁ-ne (<4>go.away-PFV-TEMP)      tek-d\i- (lonely-ATTR)      j-ii-j (1-COP1-PST),из-за того что у его родителей чужие отобрали богатство. Один остался,ǯud\i- didd\i- nind\i- warl\i-wald\i- madd\i-biše X\i-lʲa haˁpX\i-ˁne tekt\i- jiij,Magomedshapi_Nina_glossed_23_07latin
2,n,nin,nin-e,nin-e,mother-ERG,,haj-a (here-EL)      ix-dɨ (we.OBL-ATTR)      nin-e (mother-ERG),Тогда наша мама,haja ixdɨ nine,180724_0081_18-10-18
1,n,nin,nin-waldɨ,nin-waldɨ,mother-ABSTR,,()      mita (?)      a-d (be-ATTR)       ()      haja (later)      mi (this)      xɨle-š-dɨ (woman.PL-OBL.PL-ATTR)      nikja (islamic.wedding)      hɨʔɨ-r (4.do.PFV-CVB)      kar (thing)      mij (here)      mi (this)      a<d>ɨrga-r=a (<HPL>stay.IPFV-CVB=be)       ()      xa (PTCL)      xɨle-š-e (woman.PL-OBL.PL-ERG)      w-aʔa-r=a (3-do.IPFV-CVB=be)      nin-waldɨ (mother-ABSTR)       ()      q'oxe (adult)      d-aʔa-r=a (HPL-do.IPFV-CVB=be)       ()      ǯüdχud (stepchild)      χɨnimer=xa (child.PL=ADD)       ()      xele (later)      ǯü-kla (REFL-LOC)      Гьawalai-s (havalay/OBL-DAT)      ruʔu-r=a (1.go.IPFV-CVB=be)      sa (one)      χɨnɨχ (child)       ()      Miχri (mihri)      babai-s (granny/OBL-DAT)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       ()      χɨnɨχ (child)      na (AND)      rɨš (daughter)      q'wa-r (two-2)       ()      ha-bɨr (he-PL)      q'oxe (adult)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       (),"Эти женщины делают никях, они здесь остаются, эти женщины принимают материнство, они выращивают своих детей, потом ему Авала рождает одного ребенка, Михри бабушке рождается два ребенка сын и дочь, они вырастают.","mita ad aja mi xɨlešdɨ nikja hɨʔɨr mij mi adɨrgara ha xɨleše waʔara ninwaldɨ q'oχe daʔara ǯüduχud χɨnemerχa xele ǯükla Awalais ruʔura sa χɨnɨχ, Miχri babais duruʔura, χɨnɨχna rɨš q'war, habɨr q'oχe duruʔura ",kna_muhammadshafi05_1_6_18latin
1,n,nise,nise-bɨr,nise-bɨr,cheese-PL,,nise-bɨr (cheese-PL)      q-aʔa-r=a (RE-do.IPFV-CVB=be)      azuk'ai-d (quark-ATTR),Творог добавляем.,nisebɨr qaʔara azuk'aid,kna_maisarat02.textgrid
1,?,?,njah,njah,?,,"   njah  (???)      ha-nɨwɨ-s (that-OBL.H-DAT)      za-d  (I-ERG)      t'it'  (nipple)      ki-wɨ-s-dɨ  (SURF-give(?)-INF-ATTR)      χotja  (although[R])      sa  (one)      hadan  (???)      za-d  (I-ERG)      uˤχuˤ-n  (1.keep.PFV-MSD)      badana,  (for)      sa  (one)      elig  (???)      q-ɨʔɨ-n  (RE-1.do.PFV-MSD)      badana,  (for)      ha-d  (that-ATTR)      χɨnɨχ  (child)      za-d,  (I-ERG)      we-χ (you.PL-SUB.ESS)      we-χda=xa  (you.PL-SUB.ESS=ADD)      šudda  (how.much)      kirx (SURF-??? (= просить))      minnat  (request)      w-aʔa-r=a  (3-do.IPFV-CVB-be)      kar  (thing)      hɨkɨsɨ  (4.become-INF-FUT)      xur=xa,  (QUOT=ADD)      sa  (one)      hadan  (???)      uˤχuˤ-s  (1.keep-INF)      za-d  (I-ERG)      zɨ=xa  (I=ADD)      uˤ<r>uˤχuˤ-n  (<2>keep.PFV-MSD)      badana  (for)      xur=xa (QUOT=ADD)      za-d  (I-ERG)      ha-d  (that-ATTR)      χa-ʁu-r=xa, (PV-1.throw.PFV-CVB=ADD)      Аllah-a-d  (Allah-OBL-ATTR)      uliχda  (in.front)      iz-dɨ  (I.OBL-ATTR)      jüzüqara  (sinner)      jiʔi  (COP2(?))      xur=xa. (QUOT=ADD)   ","Вместо того чтобы его кормить, лучше я за старшим присмотрю, сколько можно у вас просить, умолять, чтобы одного сохранить и себя сохранить я его бросила, перед Богом я согрешила(?).","njah hanɨ wɨs zad t'it' kiwɨsdɨ χotja sa hadan zad uˤχuˤn badana, sa elig qɨʔɨn badana, had χɨnɨχ zad, weχda xa šudda kirx... minnat waʔara kar hɨkɨsɨ xurxa, sa hadan uˤχuˤs zad zɨxa uˤruˤχuˤn badana xur xa zad had χaʁur xa, Allahad uliχda izdɨ jüzü qara jiʔi xurxa ",muhammad_shafi_4latin
2,n,nʲekʲ,nʲekʲ,nʲekʲ,milk,нуждается в уточнении;словари разошлись все - пересулшиваем словарь,ubl-i-ra (wolf-obl-erg)      dagul (steal)      ha<r>ɨ-r=a-d (<2>do.pfv-cvb=be-atr)      rɨš (girl)       ()      ubl-i-ra (wolf-obl-erg)      nʲekʲ (milk)      wɨlc'a-r=a (4.give.ipfv-cvb=be)      ǯi-dɨ (self.OBL.NM-atr)      hile (where)      rɨgɨ<r>gɨ-r (<2>bring-cvb)      wič (she)      ha-d (that-atr)      dig-ɨ-je (den-obl-in(ess))      rɨgɨ<r>ga-r=a (<2>bring-cvb=be)      nʲekʲ (milk)      wilc'a-r=a (4.give.ipfv-cvb=be)      ka-r-aʔa-r=a (inter-2-do.ipfv-cvb=be)      ha-d (that-atr)      rɨš (girl)      eke (grow)      ru-ru-r=a (2-become.ipfv-cvb=be),"волк похитил эту девочку, начал кормить своим молоком в своём логовеэта волчица её кормит и она взрослеет в этом логове",ublira dagul harɨrad rɨš ublira neki wɨlc'ara ǯiddɨ hile rɨgɨrgɨrwič had digije rɨgɨrgara neki wilc'ara kara ara had rɨš eke rurura,180722_0090
1,conj,nu,nu,nu,but[R],,q-aˤ<r>χɨˤ-r  (RE-<2>go.away.PFV-CVB)      xur  (QUOT)      nu  (but)      hileʔ=na  (where=INDEF.NEG)      q-aˤ<r>χɨˤ-r-ijden  (RE-<2>go.away.PFV-CVB-JDEN)      hac'a-r-diš  (4(?).know-CVB-NO)      xur  (QUOT)      šuw=na  (what=INDEF.NEG)      r-iši-r-ijden. (2-become.PFV-CVB-JDEN),"Ушла она, но не знаем куда, что с ней стало. ",q'aˤrχɨˤr xur nu hileʔna q'aˤrχɨˤrijden hac'ardiš xur šuwna riširijden,muhammad_shafi_4latin
1,*,haʔas,nu hawɨr hawɨra,nu hawɨr hawɨra,?,Удалить?,nu hawɨr hawɨra (это pfv) jirq'ɨr xa (come.1.pfv-temp) malla nasredin (propr.name) suq'u-r (sit.1.pfv-cvb) xu-r (say.pfv.1-cvb) xa (ptcl.cit),"Ну, позвали -- так позвали. Малла Насредин посидел и сказал:",hawɨr hawɨra jirq'ɨr xa malla nasredin suq'ur xur xwa,kna_muzafer06
1,*,*,nuw\i-kla=xa;nuwɨkla=xa;nuwɨ-k-la=xa,nuwɨ-k-la=xa,OBL.H-SUB-EL=ADD,соединить с основой,he-mi (EMPH-this)      nuw\i-kla=xa ()      w\i- (you.SG)      mi\?g  (this)      ti\?g  (that)      dUtmiš  ()      r-iši-jne (F-become-TEMP2)      . ()      hele ()      zad (1SG.ERG)      hele (later)      wa-s (you.SG-DAT)      hajir ()       a-d\i-š  (be-NO),"Если ты от него тоже уйдешь (как попало будешь себя вести), добра не жди от меня","hemi nuw\i-kla xa w\i- mi\?g ti\?g dUtmiš rišijne, hele was zakla hajir ad\i-š ",Magomedshapi_Nina_glossed_23_07latin
3,intj,o,o,o,INTJ,,()      χɨnχɨ-s (boy/kid.OBL-Dat)      χa (also)      did-ɨ-la (father-OBL-EL)      gič'e-r-a (1.be.afraid.of.IPFV-CVB-AUX1)      exɨr (finally)      gič'i-r-a (1.be.afraid.of.PFV-CVB-AUX1)      jišin (1.be.INF)      mid-0 (this-ABS)      laˤjči-r (1.jump.PFV-CVB)      aniʔi (1.is)      laˤjči-r (1.jump.PFV-CVB)      gjaka-ma (1.look.IPFV-LIM)      minu-da (this.OBL-ERG)      xed-0 (water-ABS)      haʔ-as (1.do-INF)      ruʔu-r-diš (1.can.IPFV-CVB-NEGAUX)      lec'-ura-ra (river-OBL-ERG)      jɨχe-r-a (1.carry.away.IPFV-CVB-AUX1)       ()      o (o)      eχ (eh)      o (o)      eχ (eh)      gadi-er-0 (fellow-PL-ABS)      huxu-r (1.say.PFV-CVB)      χa (also)      d-aχa (HPL-run.IMP)      χaq' (1.catch.IMP)      gadi-er-0 (fellow-PL-ABS)      o (o)      e (e)      hiši-r-diš (1.be.PFV-CVB-NEGAUX)      jaχa (1.run.IMP)      d-aχa (HPL-run.IMP)      χakaq' (1.hold.IMP)       (),"Мальчик же боялся отца, [так] он забоялся/испугался, что в конце концов прыгнул в воду, а, прыгнувши, когда [дед] видел, [что] вода уносила [его], не умевшего плавать, сказал: """"Ой-ой, парни, бегите, поймайте, парни, ой-ой, так не должно было получиться, бегите, держите""""","χɨnχɨs χa didɨla gič'era exɨr gič'ira jišin mid laˤjčir aniʔi laˤjčir gjakama minuda xed haʔas ruʔurdiš lec'urara jɨχera """"o eχ o eχ gadier -- huxur χa -- daχa χaq' gadier o e hiširdiš jaχa daχa χakaq'"""" ",latin_kna_said04latin
1,n,oblast',oblasti,oblasti,region[R],"вероятно, русская форма (от в Волгоградской области с упавшим предлогом)",volgogradskij (Volgogradian)      oblasti (region)      haj (here(ESS))      ješemiš (live)      d-iši-r (HPL-become.PFV-CVB),"В Волгоградской области, там мы жили",volgogradskij oblasti haj ješemišdišir,180724_0081_18-10-18
1,intj,ohh,ohh;oh,oh,INTJ,,()      ǯibra (following)      h-ixɨ-jne (1-go.pfv-temp2)      xʷa (add)       ()      ohh ()      hɨnčɨ-ra (god-erg)      huxu-r (say.pfv-cvb)      xʷa (add)       ()      pajbɨr (share-pl)      lat'u-r=a (get.out.of-cvb=be)      xu-r (say.pfv-cvb)      xʷa (add)      hamɨʔ (now)      za-d (I.obl-erg)      wa-s (you.obl-dat)      šuw (what)       ()      paj (share)      h-ɨwɨ-s-ɨ (3-give.pfv-inf-fut)       ()      xu-r (say.pfv-cvb)      xʷa (add)       (),"Последний пошел;всевышний сказал: у меня ничего не осталось, теперь что я тебе дам?",ǯibra hɨxɨjne xʷa / ohh hɨnčɨra huxur xʷa pajbɨr lat'ura xur xʷa hamɨʔ zad was šuw paj hɨwɨsɨ xur xʷa?,180722_0171
1,n,oktjabɨr,oktjabɨra-d;oktjabɨr-a-d,oktjabɨr-a-d,october[R]-OBL-ATTR,,sɨw-ɨmɨ-la-χud (mountain-OBL.PL-IN.EL-???)      raˤq (way)       ()      oktjabɨra-d (october.OBL-ATTR)      eχira-s (end.OBL-DAT)      oktjabɨra-d  (october.OBL-ATTR)      jiɢa-d (midst-ART)      wazɨr-a (month.OBL-IN.ESS)      jɨχɨ-r (4.go.PFV-CVB)      wazɨr-dɨ (month.OBL-ATTR)      jɨχɨ-r (4.go.PFV-CVB)       ()      äčuχu-r (open-CVB)      hile (where)      jiz (снег)      si<d>xu-ne (<4>lay.PFV-COND)      huruʔu-r=a (4.go.IPFV-CVB=be)      pereval (pass),"Дорога через горы до середины октября открыта, потом, когда снег ложится, закрывается",Sɨwɨmɨlaχud raˤq oktjabɨrad eχiras oktjabɨrad jiɢad wazɨra jɨχɨr wazɨrdɨ jɨˤq'ad jiχɨr  äčuχur hile jiz sidxune huruʔura perewal.,kna_said02
1,n,oktjabɨr,oktjabrь;oktjabr,oktjabr,october[R],не следует ли при вариантном написании сводить к одной лемме для поиска? тут был бы oktjabɨr,()      oktjabrь (october)      waz (month)       ()      uže (already)      mɨq'-ɨ-d (cold-OBL-ATTR)      waz (month)       ()      edemij-er (man-PL)      wɨs-a (sunny.side-LOC)      d-iʔi{nrzb} (HPL-COP1)      edemi-je-še-s (man-OBL-OBL.PL-DAT)      raˤq-a (дорога-LOC)      gɨˤ<d>ɨˤrχaˤ-r (<HPL>meet.IPFV-CVB)      q'waˤ-r (two-2)      xɨdɨldɨ (woman)       (),"Окябрь месяц - это холодный месяц, мужики шли по той (солнечной) стороне и встретили двух женщин.",Oktjabrь waz uže mɨq'ɨd waz edemier wɨsa edemiješis raˤqa gɨdɨrχaˤr q'war xɨdɨldɨ,kna_muhammadshafi05_1_6_18latin
1,adv,opʲat,opʲat,opʲat,again[R],"или RUSSIAN? Мягкий ли т? ТМ: наверно всё как написано, только первое a-",maa (again) opʲat (again) mi (this) sa (one) ruʔud diš (go.ipfv.1*-cvb-neg) xu-s (say.pfv-inf) maa (again) xiba-d xu-s-dɨ (three-4 say.pfv-inf-atr) ses-ɢa w-ɨʔɨ-r (sound-? 3-do.pfv-cvb),Опять так не пойдет. Опять в третий раз его позвали обратно.,maa opʲat mi sa ruʔud diš xus. maa xibad xusdɨ sesɢa wɨʔɨr (xur),kna_muzafer06
1,n,ostanovka,ostanovka-ja;ostanovka-j-a,ostanovka-j-a,bus.stop[R]-OBL-SUP,надо вернуться и пересмотреть глоссирования слова дяг1ви,уже ()      sa (one)      ostanovka-ja (bus.stop-in(ess))      mi-bɨr (this-pl)      qwaˁ-r (two-H)      sin (all)      s-e<l>č'u-r=a (down-<HPL>get-cvb=be),уже на остановке они оба сошли (с автобуса),uʒe sa ostanovkaja mibɨr qwaˁr sin selč'ura,kna_babushka
1,n,oxota,oxota-ji-s,oxota-ji-s,hunt[R]-OBL-DAT,,oxota-ji-s (hunt-obl-dat)      d-ɨxɨ-jne (HPL-go.pfv-temp2)       ()      ʁarčekan-e-r (hunter-obl-erg)      ʁarčekan-e-r (hunter-obl-erg)      du-ruʔu-r=a (HPL-come.ipfv-cvb=be)      mi-d (this-atr)      ʁɨˁrǯ (urus)      aramiš (search)      w-aʔa-r=a (3-do.ipfv-cvb=be)      aa-uu (around)      d-uʁurʁ-ed (HPL-wander-atr)       ()      sa (one)      hile (where)      e<l>č'u-t=xa (<HPL>in.get-atr=add)      xed (water)      raʁa-s (drink-inf),"охотники ходили на охоту, ища тура вокруг они наткнулись на шалаш, и зашли воду выпить",oxotajis dɨxɨjne ʁarčekaner ʁarčekaner duruʔura mid ʁɨˁrǯ aramiš waʔara aa-uu duʁurʁed sa hile elč'utxa xed raʁas,180722_0090
2,n,oxotnik,oxotnik-e-r,oxotnik-e-r,hunter[R]-OBL-ERG,,wɨš (they)      ruʔu-r=a (1.become.pfv-cvb=be)      ha-biš-eχda (that-obl.pl-post(lat))      oxotnik-e-r (hunter-obl-erg)      {slrr} ()      oxotnik-e-r (hunter-obl-erg)      du-ruʔu-r=a (HPL-become.pfv-cvb=be)      ??? (),"они приходят, охотники приходят к ним",wɨš ruʔura habišeχda oxotiker oxotiker duruʔura,180722_0090
1,n,paɢʷal,paqʷal-e-d;paɢʷal-e-d,paɢʷal-e-d,burdock-OBL-ATTR,,()      musurman (Muslim)       ()      paqʷal-e-d (burdock-obl-atr)      tili-je-χda (leave-obl-sub.ess)      ɢɨχɨ-d (hide.pfv*-atr)      dagul j-iši-d (secrecy 1-become.pfv-atr)       ()      musurman (Muslim)       ()      keǯibra (last)      ruʔu-r=a (1.go.ipfv-cvb=be)       (),"Мусульманин, под лопухом спрятавшийся, последний идет пай просить.",musurman paqʷaled tilijeχda ɢɨχɨd dagul jišid musurman keǯibra ruʔura,180722_0171
4,n,paj,paj,paj,share,,()      ha-biš-e (this-obl.pl-erg)      mɨslʲaʔaˁt ha<w>ɨ-r (deliberate  <3>do.pfv-cvb)      xʷa (add)       ()      hɨnči-da (god.obl-apud.ess)      paj (share)      w-aʁa-s (ask.for:3-inf)      xu-r (say.pfv-cvb)       ()       ()      ha-bɨr (this-pl)      xʷa (add)      sü<d>kü-r (<hpl>sit.pfv-cvb)      xʷa (add)      hɨnči-d (god.obl-atr)      bejda (nead)      laʔ (up)      d-ɨxɨ-r (hpl-go.pst-cvb)      hɨnči-da (god.obl-apud.ess)      xʷa (add)       ()      paj (share)      waʁa-s (ask.for:3-inf)      d-ɨxɨ-r (hpl-go.pst-cvb)      xʷa (add)       ()       ()      paj (share)      waʁa-s (ask.for:3-inf)      d-ɨxɨ-jne (hpl-go.pfv-temp2)      sifda (for.the.first.time)       ()      wuš (who)      h-ɨxɨ-r=a (1-go.pfv-cvb=be)      jevrej (jew)      h-ɨxɨ-r=a (1-go.pfv-cvb=be)       ()       ()      ǯibra (following)      h-ixɨ-jne (1-go.pfv-temp2)      xʷa (add)       ()      ohh ()      hɨnčɨ-ra (god-erg)      huxu-r (say.pfv-cvb)      xʷa (add)       ()      pajbɨr (share-pl)      lat'u-r=a (get.out.of-cvb=be)      xu-r (say.pfv-cvb)      xʷa (add)      hamɨʔ (now)      za-d (I.obl-erg)      wa-s (you.obl-dat)      šuw (what)       ()      paj (share)      h-ɨwɨ-s-ɨ (3-give.pfv-inf-fut)       ()      xu-r (say.pfv-cvb)      xʷa (add)       (),"Они совещались у бога попросить долю на пай.""Они пошли ко всевышнему, чтобы получить там подарок {долю, пай}.""Подарок {пай} попросить сперва пошел еврей.""Последний пошел;всевышний сказал: у меня ничего не осталось, теперь что я тебе дам?""",habiše mɨslʲaʔaˁt hawɨr xʷa // hɨnčida paj waʁas xurhabɨr xʷa südkür xʷa hɨnčid bejda laʔ dɨxɨr hɨnčida xʷa paj waʁas dɨxɨr xʷapaj waʁas dɨxɨjne sifda // wuš hɨxɨra jevrej hɨxɨraǯibra hɨxɨjne xʷa / ohh hɨnčɨra huxur xʷa pajbɨr lat'ura xur xʷa hamɨʔ zad was šuw paj hɨwɨsɨ xur xʷa?,180722_0171
1,n,paj,pajbɨr;paj-bɨr,paj-bɨr,share-PL,,()      ǯibra (following)      h-ixɨ-jne (1-go.pfv-temp2)      xʷa (add)       ()      ohh ()      hɨnčɨ-ra (god-erg)      huxu-r (say.pfv-cvb)      xʷa (add)       ()      pajbɨr (share-pl)      lat'u-r=a (get.out.of-cvb=be)      xu-r (say.pfv-cvb)      xʷa (add)      hamɨʔ (now)      za-d (I.obl-erg)      wa-s (you.obl-dat)      šuw (what)       ()      paj (share)      h-ɨwɨ-s-ɨ (3-give.pfv-inf-fut)       ()      xu-r (say.pfv-cvb)      xʷa (add)       (),"Последний пошел;всевышний сказал: у меня ничего не осталось, теперь что я тебе дам?",ǯibra hɨxɨjne xʷa / ohh hɨnčɨra huxur xʷa pajbɨr lat'ura xur xʷa hamɨʔ zad was šuw paj hɨwɨsɨ xur xʷa?,180722_0171
1,n,palankaš,palankaš-i,palankaš-i,colander-OBL(SUP),"в словаре исмаиловой паланкеч;и я быпредположил, что это sup",palankaš-i (colander-IN.ESS)      i<l>χe-r=a (<APL>put.IPFV-CVB=be)      χed (water)      suzmiš (strain)      hiši-d-ʲa-quʔ (4.become.PFV-ATTR-IN.EL-BACKWARD),"В душлаг кладем, воду сцеживаем после этого",palankaši ilxera χed suzmiš hɨʔɨdʲaquʔ,kna_maisarat02.textgrid
1,n,pejʁambar,pejʁambar,pejʁambar,prophet,в обоих словарях пайгъампар;переслушать,"   pejʁambar  (prophet)      ji<r>ɢɨ-r  (<1>come.PFV-CVB(AOR))      za-k  (I-INTER.ESS)      χɨl  (hand)      ki-χɨ-r=xwa,  (PV-1.touch.PFV-CVB(AOR)=ADD)      malaik  (angel)      ji<r>ɢɨ-r  (<1>come.PFV-CVB(AOR))      za-k  (I-INTER.ESS)      χɨl  (hand)      kiχɨ-r  (PV-1.touch.PFV-CVB(AOR))      huxu-r=xwa. (say.PFV-CVB(AOR)=ADD)   ","Пришел Пророк, тронул меня рукой, и ангел тоже тронул меня рукой.","Pejʁambar jirɢɨr zak χɨl kiχɨr=xwa, malaik jirɢɨr zak χɨl kiχɨr huxur=xwa. ",kna_2018_17_gljh_1942latin
